,Date,Year,Month,Day,Tmax_C,Tmin_C,Srad,Ws_2m,q,Prcp,ETo,ETr_ASCE
7609,1999-11-01,1999,11,1,17.7594848633,0.0062194824219,162.753616333,1.74360134763,0.00242786644958,0.0,2.6011402607,3.95642833425
7610,1999-11-02,1999,11,2,16.8001037598,-0.163275146484,161.777450562,1.64252720574,0.00228092563339,0.0,2.45541119576,3.70327711005
7611,1999-11-03,1999,11,3,18.1892944336,-0.353399658203,159.551803589,1.19772767187,0.0023476111237,0.0,2.16681861877,3.18013780528
7612,1999-11-04,1999,11,4,19.039453125,0.176873779297,159.343551636,0.719518779035,0.00225223531015,0.0,1.75650548935,2.40748510333
7613,1999-11-05,1999,11,5,20.749230957,0.316613769531,156.948699951,1.1551427561,0.00205915723927,0.0,2.23242521286,3.41919417347
7614,1999-11-06,1999,11,6,20.9795776367,0.696832275391,155.608108521,1.81464495169,0.00216267490759,0.0,2.83335709572,4.58897880947
7615,1999-11-07,1999,11,7,22.469720459,1.68636474609,148.013565063,2.96375798994,0.0025015308056,0.0,3.84187650681,6.4973387457
7616,1999-11-08,1999,11,8,20.6293273926,2.93700561523,148.937652588,1.84730204481,0.00317110028118,0.0,2.71523618698,4.24297396319
7617,1999-11-09,1999,11,9,16.5899291992,-0.0132507324219,150.284759521,1.60526699823,0.00290474575013,0.0,2.20047235489,3.28727355694
7618,1999-11-10,1999,11,10,18.9800964355,-1.15393676758,147.772766113,1.56908904777,0.00239995145239,0.0,2.35830569267,3.70839419675
7619,1999-11-11,1999,11,11,20.0795837402,-0.703833007812,148.944168091,1.26535242073,0.00232163467444,0.0,2.15864777565,3.36447439397
7620,1999-11-12,1999,11,12,19.6592346191,1.06676635742,147.948486328,0.8318290281,0.00219601765275,0.0,1.7193543911,2.51487747057
7621,1999-11-13,1999,11,13,18.3994689941,0.856042480469,146.751052856,0.991153885838,0.00214716675691,0.0,1.81191861629,2.70244457121
7622,1999-11-14,1999,11,14,18.6298156738,-0.903112792969,145.202209473,1.00155275511,0.0021273936145,0.0,1.80099439621,2.71931579517
